attraction_id,name,category,x,y,cost,visit_duration,opening_time,closing_time,priority_score
0,Adventure World,entertainment,9.8,17.9,40.0,210,11:00,23:00,7.5
1,Old Town Market,market,13.8,14.5,4.0,75,08:00,16:00,1.7
2,Riverside Park,park,4.2,15.1,9.0,60,07:00,20:00,3.4
3,Zen Garden,park,14.0,14.2,3.0,105,08:00,20:00,8.0
4,City History Museum,museum,13.5,13.8,30.0,75,09:00,18:00,5.5
5,Night Bazaar,market,12.6,15.2,3.0,30,09:00,14:00,1.6
6,City Aquarium,entertainment,0.3,13.8,48.0,195,11:00,21:00,5.5
7,Skyline Tower,landmark,6.8,15.0,5.0,45,08:00,20:00,7.1
8,Fusion Kitchen,restaurant,3.2,18.3,13.0,45,11:00,23:00,5.6
9,Flower Market,market,5.8,19.0,2.0,60,09:00,14:00,7.7
10,Botanical Garden,park,3.8,15.8,5.0,45,07:00,21:00,2.6
11,Harbor Grill,restaurant,15.9,15.4,20.0,75,11:00,22:00,5.5
12,Old Cathedral,landmark,9.7,18.6,7.0,60,09:00,18:00,5.3
13,Modern Art Gallery,museum,11.0,12.5,25.0,135,09:00,16:00,8.3
14,Science Center,museum,17.6,13.4,33.0,60,10:00,16:00,6.4
15,Victory Bridge,landmark,8.7,10.8,2.0,45,09:00,18:00,7.6
16,War Memorial Museum,museum,9.5,14.9,30.0,75,10:00,18:00,3.3
17,Lighthouse Point,landmark,15.9,15.6,14.0,60,08:00,18:00,6.9
18,Comedy Theater,entertainment,10.8,14.0,45.0,120,10:00,23:00,7.7
19,Escape Room Center,entertainment,5.5,13.8,42.0,135,11:00,22:00,5.6
20,Natural History Museum,museum,13.0,12.0,20.0,90,10:00,18:00,3.7
21,Concert Hall,entertainment,14.6,12.9,27.0,150,10:00,23:00,8.2
22,Noodle House,restaurant,0.9,15.8,25.0,90,12:00,23:00,7.8
23,Craft Market,market,10.7,13.6,3.0,45,08:00,14:00,5.6
24,Rooftop Bistro,restaurant,5.1,15.7,17.0,90,12:00,21:00,6.7
25,Spice Market,market,9.6,16.3,1.0,30,09:00,16:00,1.9
26,Clock Tower,landmark,10.8,13.4,12.0,30,09:00,18:00,4.3
27,Hilltop Park,park,7.6,10.0,6.0,105,08:00,19:00,4.2
28,Lakeside Park,park,0.6,12.1,8.0,60,07:00,21:00,5.5
29,Street Food Alley,restaurant,9.0,14.3,13.0,90,11:00,21:00,2.4
